"fare_id","route_id","origin_id","destination_id","contains_id"
"100606-FP","100606-1","","",""
"100606-FP","100606-2","","",""
"100606-FP","100606-3","","",""
"100606-FP","100606-4","","",""
"100606-FP","100606-5","","",""
"100606-FP","100606-6","","",""
"100606-FP","100606-7","","",""
"100606-FP","100606-8","","",""
"100606-FP","100606-9","","",""
"100606-FP","100606-10","","",""
"100606-FP","100606-11","","",""
"100606-FP","100606-12","","",""
"100606-FP","100606-13","","",""
"100606-FP","100606-14","","",""
"100606-FP","100606-10A","","",""
"100606-FP","100606-10B","","",""
"100606-FP","100606-10D","","",""
"100606-FP","100606-10H","","",""
"100606-FP","100606-11B","","",""
"100606-FP","100606-11D","","",""
"100606-FP","100606-11M","","",""
"100606-FP","100606-11Q","","",""
"100606-FP","100606-12A","","",""
"100606-FP","100606-12B","","",""
"100606-FP","100606-12C","","",""
"100606-FP","100606-12F","","",""
"100606-FP","100606-12H","","",""
"100606-FP","100606-12P","","",""
"100606-FP","100606-13B","","",""
"100606-FP","100606-1A","","",""
"100606-FP","100606-1B","","",""
"100606-FP","100606-1C","","",""
"100606-FP","100606-1E","","",""
"100606-FP","100606-1F","","",""
"100606-FP2","100606-1H","","",""
"100606-PP","100606-1K","","",""
"100606-FP","100606-1M","","",""
"100606-FP2","100606-1N","","",""
"100606-FP2","100606-1P","","",""
"100606-FP","100606-1Q","","",""
"100606-FP2","100606-1R","","",""
"100606-FP","100606-2A","","",""
"100606-FP","100606-2B","","",""
"100606-FP","100606-2F","","",""
"100606-FP","100606-2P","","",""
"100606-FP","100606-2Q","","",""
"100606-FP","100606-3A","","",""
"100606-FP","100606-3C","","",""
"100606-FP","100606-3E","","",""
"100606-FP","100606-3F","","",""
"100606-FP2","100606-4B","","",""
"100606-FP","100606-4C","","",""
"100606-FP","100606-4D","","",""
"100606-FP","100606-4E","","",""
"100606-FP2","100606-4F","","",""
"100606-FP","100606-5B","","",""
"100606-FP","100606-5C","","",""
"100606-FP","100606-5D","","",""
"100606-FP2","100606-5F","","",""
"100606-FP2","100606-5M","","",""
"100606-FP","100606-5N","","",""
"100606-FP","100606-6A","","",""
"100606-FP","100606-6B","","",""
"100606-FP","100606-6C","","",""
"100606-FP","100606-6D","","",""
"100606-FP","100606-6H","","",""
"100606-FP","100606-6M","","",""
"100606-FP","100606-6N","","",""
"100606-PP","100606-6P","","",""
"100606-FP","100606-6Q","","",""
