"trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_headsign","pickup_type","drop_off_type","continuous_pickup","continuous_drop_off","shape_dist_traveled","timepoint"
"100606-98e8819c8f2a5fc96fac","05:00:00","05:00:10","100606-B03282P","0","Tanjung Priok","0","","","","","1"
"100606-98e8819c8f2a5fc96fac","05:03:01","05:03:11","100606-B03283P","1","Tanjung Priok","0","","","","","1"
"100606-98e8819c8f2a5fc96fac","05:04:50","05:05:00","100606-B05078P","2","Tanjung Priok","0","","","","","1"
"100606-98e8819c8f2a5fc96fac","05:07:54","05:08:04","100606-B06039P","3","Tanjung Priok","0","","","","","1"
"100606-98e8819c8f2a5fc96fac","05:08:49","05:08:59","100606-B00136P","4","Tanjung Priok","0","","","","","1"
"100606-98e8819c8f2a5fc96fac","05:21:54","05:22:04","100606-B07449P","5","Tanjung Priok","0","","","","","1"
"100606-98e8819c8f2a5fc96fac","05:27:53","05:28:03","100606-B01858P","6","Tanjung Priok","0","","","","","1"
"100606-98e8819c8f2a5fc96fac","05:49:06","05:49:16","100606-G00507","7","Tanjung Priok","0","","","","","1"
"100606-98e8819c8f2a5fc96fac","05:56:34","05:56:44","100606-G00511","8","Tanjung Priok","0","","","","","1"
"100606-98e8819c8f2a5fc96fac","06:01:59","06:02:09","100606-G00509","9","Rusun Marunda","0","","","","","1"
"100606-98e8819c8f2a5fc96fac","06:23:17","06:23:27","100606-B02170P","10","Rusun Marunda","0","","","","","1"
"100606-98e8819c8f2a5fc96fac","06:29:08","06:29:18","100606-B07450P","11","Rusun Marunda","0","","","","","1"
"100606-98e8819c8f2a5fc96fac","06:42:16","06:42:26","100606-B00137P","12","Rusun Marunda","0","","","","","1"
"100606-98e8819c8f2a5fc96fac","06:43:19","06:43:29","100606-B05530P","13","Rusun Marunda","0","","","","","1"
"100606-98e8819c8f2a5fc96fac","06:46:14","06:46:24","100606-B03265P","14","Rusun Marunda","0","","","","","1"
"100606-98e8819c8f2a5fc96fac","06:47:57","06:48:07","100606-B03284P","15","Rusun Marunda","0","","","","","1"
"100606-98e8819c8f2a5fc96fac","06:48:45","06:48:55","100606-B03282P","16","Rusun Marunda","0","","","","","1"
"100606-1ecb6a8f26ef1886f3fa","05:00:00","05:00:10","100606-B03270P","0","","0","","","","","1"
"100606-1ecb6a8f26ef1886f3fa","05:01:34","05:01:44","100606-B05785P","1","","0","","","","","1"
"100606-1ecb6a8f26ef1886f3fa","05:02:59","05:03:09","100606-B05536P","2","","0","","","","","1"
"100606-1ecb6a8f26ef1886f3fa","05:06:48","05:06:58","100606-B02723P","3","","0","","","","","1"
"100606-cd42bb1ba5a4ea8ee471","05:00:00","05:00:10","100606-B02723P","0","","0","","","","","1"
"100606-cd42bb1ba5a4ea8ee471","05:03:01","05:03:11","100606-B06573P","1","","0","","","","","1"
"100606-cd42bb1ba5a4ea8ee471","05:04:17","05:04:27","100606-B00264P","2","","0","","","","","1"
"100606-cd42bb1ba5a4ea8ee471","05:08:02","05:08:12","100606-B00265P","3","","0","","","","","1"
"100606-cd42bb1ba5a4ea8ee471","05:09:02","05:09:12","100606-B05535P","4","","0","","","","","1"
"100606-cd42bb1ba5a4ea8ee471","05:10:35","05:10:45","100606-B05784P","5","","0","","","","","1"
"100606-cd42bb1ba5a4ea8ee471","05:12:00","05:12:10","100606-B03270P","6","","0","","","","","1"
"100606-1334c49516df3c9fa5eb","05:00:00","05:00:10","100606-G00511","0","","0","","","","","1"
"100606-1334c49516df3c9fa5eb","05:05:25","05:05:35","100606-G00509","1","","0","","","","","1"
"100606-1334c49516df3c9fa5eb","05:08:11","05:08:21","100606-G00503","2","","0","","","","","1"
"100606-1334c49516df3c9fa5eb","05:10:39","05:10:49","100606-G00500","3","","0","","","","","1"
"100606-1334c49516df3c9fa5eb","05:15:44","05:15:54","100606-G00497","4","","0","","","","","1"
"100606-1334c49516df3c9fa5eb","05:23:30","05:23:40","100606-G00494","5","","0","","","","","1"
"100606-1334c49516df3c9fa5eb","05:34:41","05:34:51","100606-G00489","6","","0","","","","","1"
"100606-1334c49516df3c9fa5eb","05:37:11","05:37:21","100606-G00485","7","","0","","","","","1"
"100606-1334c49516df3c9fa5eb","05:41:51","05:42:01","100606-G00479","8","","0","","","","","1"
"100606-1334c49516df3c9fa5eb","05:43:27","05:43:37","100606-G00477","9","","0","","","","","1"
"100606-1334c49516df3c9fa5eb","05:49:00","05:49:10","100606-G00473","10","","0","","","","","1"
"100606-1334c49516df3c9fa5eb","05:51:55","05:52:05","100606-G00469","11","","0","","","","","1"
"100606-1334c49516df3c9fa5eb","05:54:33","05:54:43","100606-G00465","12","","0","","","","","1"
"100606-1334c49516df3c9fa5eb","06:47:25","06:47:35","100606-G00318","13","","0","","","","","1"
"100606-1334c49516df3c9fa5eb","06:52:09","06:52:19","100606-G00316","14","","0","","","","","1"
"100606-1334c49516df3c9fa5eb","06:54:59","06:55:09","100606-G00314","15","","0","","","","","1"
"100606-1334c49516df3c9fa5eb","06:59:33","06:59:43","100606-G00313","16","","0","","","","","1"
"100606-1334c49516df3c9fa5eb","07:13:41","07:13:51","100606-G00308","17","","0","","","","","1"
"100606-b5c28f415c7b6a8a85b3","05:00:00","05:00:10","100606-G00308","0","","0","","","","","1"
"100606-b5c28f415c7b6a8a85b3","05:05:22","05:05:32","100606-G00312","1","","0","","","","","1"
"100606-b5c28f415c7b6a8a85b3","05:10:11","05:10:21","100606-G00315","2","","0","","","","","1"
"100606-b5c28f415c7b6a8a85b3","05:13:25","05:13:35","100606-G00317","3","","0","","","","","1"
"100606-b5c28f415c7b6a8a85b3","05:18:07","05:18:17","100606-G00319","4","","0","","","","","1"
"100606-b5c28f415c7b6a8a85b3","06:10:52","06:11:02","100606-G00463","5","","0","","","","","1"
"100606-b5c28f415c7b6a8a85b3","06:13:30","06:13:40","100606-G00467","6","","0","","","","","1"
"100606-b5c28f415c7b6a8a85b3","06:16:25","06:16:35","100606-G00471","7","","0","","","","","1"
"100606-b5c28f415c7b6a8a85b3","06:21:58","06:22:08","100606-G00475","8","","0","","","","","1"
"100606-b5c28f415c7b6a8a85b3","06:23:34","06:23:44","100606-G00481","9","","0","","","","","1"
"100606-b5c28f415c7b6a8a85b3","06:28:16","06:28:26","100606-G00483","10","","0","","","","","1"
"100606-b5c28f415c7b6a8a85b3","06:30:47","06:30:57","100606-G00487","11","","0","","","","","1"
"100606-b5c28f415c7b6a8a85b3","06:41:54","06:42:04","100606-G00492","12","","0","","","","","1"
"100606-b5c28f415c7b6a8a85b3","06:49:43","06:49:53","100606-G00496","13","","0","","","","","1"
"100606-b5c28f415c7b6a8a85b3","06:54:51","06:55:01","100606-G00499","14","","0","","","","","1"
"100606-b5c28f415c7b6a8a85b3","06:57:24","06:57:34","100606-G00505","15","","0","","","","","1"
"100606-b5c28f415c7b6a8a85b3","06:59:58","07:00:08","100606-G00507","16","","0","","","","","1"
"100606-b5c28f415c7b6a8a85b3","07:07:26","07:07:36","100606-G00511","17","","0","","","","","1"
"100606-05b922d31228a623924f","05:00:00","05:00:10","100606-G00511","0","Bundaran Senayan","","","","","","1"
"100606-05b922d31228a623924f","05:31:44","05:31:54","100606-G00240","1","Bundaran Senayan","","","","","","1"
"100606-05b922d31228a623924f","05:33:33","05:33:43","100606-G00238","2","Bundaran Senayan","","","","","","1"
"100606-05b922d31228a623924f","05:38:55","05:39:05","100606-G00236","3","Bundaran Senayan","","","","","","1"
"100606-05b922d31228a623924f","05:47:17","05:47:27","100606-G00234","4","Bundaran Senayan","","","","","","1"
"100606-05b922d31228a623924f","05:54:52","05:55:02","100606-G00120","5","Bundaran Senayan","","","","","","1"
"100606-05b922d31228a623924f","05:56:25","05:56:35","100606-G00122","6","Bundaran Senayan","","","","","","1"
"100606-05b922d31228a623924f","06:02:44","06:02:54","100606-G00166","7","Bundaran Senayan","","","","","","1"
"100606-05b922d31228a623924f","06:06:27","06:06:37","100606-G00400","8","Bundaran Senayan","","","","","","1"
