"from_stop_id","to_stop_id","transfer_type","min_transfer_time"
"100606-H00128P","100606-H00129P","0",""
"100606-H00070P","100606-H00071P","0",""
"100606-H00035P","100606-H00032P","0",""
"100606-H00160P","100606-H00181P","0",""
"100606-H00113P","100606-H00115P","0",""
"100606-H00270P","100606-H00269P","0",""
"100606-H00129P","100606-H00128P","0",""
"100606-H00071P","100606-H00070P","0",""
"100606-H00032P","100606-H00035P","0",""
"100606-H00181P","100606-H00160P","0",""
"100606-H00115P","100606-H00113P","0",""
"100606-H00269P","100606-H00270P","0",""
