"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible","bikes_allowed"
"100606-10A","100606-SH","100606-98e8819c8f2a5fc96fac","Tanjung Priok dan Rusun Marunda","Rusun Marunda - Tanjung Priok - Rusun Marunda","0","","100606-10A-L01_shp","",""
"100606-10B","100606-SH","100606-1ecb6a8f26ef1886f3fa","Halim","Rusun Cipinang Besar Selatan - Halim","0","","100606-10B-R01_shp","",""
"100606-10B","100606-SH","100606-cd42bb1ba5a4ea8ee471","Rusun Cipinang Besar Selatan","Halim - Rusun Cipinang Besar Selatan","1","","100606-10B-R02_shp","",""
"100606-10D","100606-SH","100606-1334c49516df3c9fa5eb","Kampung Rambutan","Tanjung Priok - Kampung Rambutan","0","","100606-10D-R01_shp","",""
"100606-10D","100606-SH","100606-b5c28f415c7b6a8a85b3","Tanjung Priok","Kampung Rambutan - Tanjung Priok","1","","100606-10D-R02_shp","",""
"100606-10H","100606-SH","100606-05b922d31228a623924f","Bundaran Senayan dan Tanjung Priok","Tanjung Priok - Bundaran Senayan - Tanjung Priok","0","","100606-zc5r","",""
"100606-10H","100606-SH","100606-7da6e2df6247928cdf05","Bundaran Senayan","Tanjung Priok - Bundaran Senayan","0","","100606-10H-R07_shp","",""
"100606-10H","100606-SH","100606-ea39a0fa81e0ca1632e2","Tanjung Priok","Bundaran Senayan - Tanjung Priok","1","","100606-5g0l","",""
"100606-10","100606-SH","100606-7acb7f564ba8ce45a255","Halim dan Tanjung Priok","Tanjung Priok - Halim - Tanjung Priok","0","","100606-10-P21_shp","",""
"100606-10","100606-SH","100606-23c4200d2719d902789b","Sunter Kelapa Gading dan PGC","PGC - Sunter Kelapa Gading - PGC","0","","100606-10-P22_shp","",""
"100606-10","100606-SH","100606-b401e24c351552958a95","Walikota Jakut dan PGC","PGC - Walikota Jakut - PGC","0","","100606-10-P23_shp","",""
"100606-10","100606-SH","100606-4791bd19a9cbfad157be","PGC","Tanjung Priok - PGC","0","","100606-10-R01_shp","",""
"100606-10","100606-SH","100606-f4e9f1f2c17eaead5f04","Tanjung Priok","PGC - Tanjung Priok","1","","100606-10-R02_shp","",""
"100606-11B","100606-SH","100606-8aeb9edff23a4adbb612","Penggilingan","Rusun Rawa Bebek - Penggilingan","0","","100606-11B-R01_shp","",""
"100606-11B","100606-SH","100606-44096d59e7b644b0be39","Rusun Rawa Bebek","Penggilingan - Rusun Rawa Bebek","1","","100606-11B-R02_shp","",""
"100606-11D","100606-SH","100606-3a751f4798c0ca871597","Pulo Gebang via PIK","Pulo Gadung - Pulo Gebang via PIK","1","","100606-11D-R02_shp","",""
"100606-11D","100606-SH","100606-4f303242af481f75921a","Pulo Gadung via PIK","Pulo Gebang - Pulo Gadung via PIK","0","","100606-11D-R03_shp","",""
"100606-11M","100606-SH","100606-92729ec550d190160759","Bukit Duri dan Rusun Rawa Bebek","Rusun Rawa Bebek - Bukit Duri - Rusun Rawa Bebek","0","","100606-11M-L01_shp","",""
"100606-11P","100606-SH","100606-35662832704757a7ab91","Walikota Jakarta Timur","Rusun Pondok Bambu - Walikota Jakarta Timur","0","","100606-11P-R01_shp","",""
"100606-11P","100606-SH","100606-b3305d58f057907c5c35","Rusun Pondok Bambu","Walikota Jakarta Timur - Rusun Pondok Bambu","1","","100606-11P-R02_shp","",""
"100606-11Q","100606-SH","100606-5d27309d46bc20be5c15","Kampung Melayu dan Pulo Gebang","Pulo Gebang - Kampung Melayu - Pulo Gebang","0","","100606-11Q-L04_shp","",""
"100606-11Q","100606-SH","100606-8c964bac4f134870385e","Kampung Melayu via BKT","Pulo Gebang - Kampung Melayu via BKT","0","","100606-11Q-R05_shp","",""
"100606-11Q","100606-SH","100606-f20869e6a2502e5e3e40","Pulo Gebang via BKT","Kampung Melayu - Pulo Gebang via BKT","1","","100606-11Q-R06_shp","",""
"100606-11","100606-SH","100606-ccff601c63f6c4babe9c","Pulo Gebang","Kampung Melayu - Pulo Gebang","1","","100606-11-R02_shp","",""
"100606-11","100606-SH","100606-cb2a1b39ccd584f712df","Kampung Melayu","Pulo Gebang - Kampung Melayu","0","","100606-11-R03_shp","",""
"100606-12A","100606-SH","100606-a511c62e7313aa41a0f0","Kota dan Kali Adem","Kali Adem - Kota - Kali Adem","0","","100606-12A-L02_shp","",""
"100606-12A","100606-SH","100606-8df82daccec76b606301","Kota","Kali Adem - Kota","0","","100606-12A-R03_shp","",""
"100606-12B","100606-SH","100606-583b2c02cfd954b4c63a","Senen","Pluit - Senen","0","","100606-12B-R03_shp","",""
"100606-12B","100606-SH","100606-0d0da516188ee4c08d5c","Pluit","Senen - Pluit","1","","100606-12B-R04_shp","",""
"100606-12C","100606-SH","100606-a8ae3003b7d5630ae55a","Penjaringan","Rusun Waduk Pluit - Penjaringan","0","","100606-12C-R01_shp","",""
"100606-12C","100606-SH","100606-73f8fcdc152e5ba765ab","Rusun Waduk Pluit","Penjaringan - Rusun Waduk Pluit","1","","100606-12C-R02_shp","",""
"100606-12F","100606-SH","100606-4c859ce480d1e8bb5ce0","Rusun Waduk Pluit dan Rusun Marunda","Rusun Marunda - Rusun Waduk Pluit - Rusun Marunda","0","","100606-12F-L01_shp","",""
"100606-12H","100606-SH","100606-08966c24c5c4ef61eddf","Penjaringan","Rusun Penjaringan - Penjaringan","0","","100606-12H-R01_shp","",""
"100606-12H","100606-SH","100606-3ad1ee819ff969568969","Rusun Penjaringan","Penjaringan - Rusun Penjaringan","1","","100606-12H-R02_shp","",""
"100606-12","100606-SH","100606-a05fa84cbb4f6ce6bb77","Kota dan Sunter Boulevard Barat","Sunter Boulevard Barat - Kota - Sunter Boulevard Barat","0","","100606-12-L01_shp","",""
"100606-12","100606-SH","100606-1b2840e7e33459233f99","Pluit","Sunter Boulevard Barat - Pluit","0","","100606-12-P03_shp","",""
"100606-12P","100606-SH","100606-93d9fafa888a9dc13a72","St. LRT Pegangsaan Dua dan JIS","JIS - St. LRT Pegangsaan Dua - JIS","0","","100606-12P-L01_shp","",""
"100606-12P","100606-SH","100606-66eb66862bf8cbcd8554","JIS","St. LRT Pegangsaan Dua - JIS","0","","100606-12P-R01_shp","",""
"100606-12P","100606-SH","100606-c7ceb5f3f9dd6e975707","St. LRT Pegangsaan Dua","JIS - St. LRT Pegangsaan Dua","1","","100606-12P-R02_shp","",""
"100606-12","100606-SH","100606-00c54368f7c0119af7bc","Sunter Boulevard Barat","Penjaringan - Sunter Boulevard Barat","0","","100606-12-R01_shp","",""
"100606-12","100606-SH","100606-f49c2cdf98bffe28f815","Penjaringan","Sunter Boulevard Barat - Penjaringan","1","","100606-12-R02_shp","",""
"100606-12","100606-SH","100606-1f8bde962b8c72d1a452","Pluit","Tanjung Priok - Pluit","0","","100606-12-R03_shp","",""
"100606-12","100606-SH","100606-df24e144108f0b8b4c8b","Tanjung Priok","Pluit - Tanjung Priok","1","","100606-12-R04_shp","",""
"100606-13","100606-SH","100606-9e85c4b661f57388a3b1","Tegal Mampang dan Ciledug","Ciledug - Tegal Mampang - Ciledug","0","","100606-13-L01_shp","",""
"100606-13","100606-SH","100606-be0427b54555f0fda117","Tegal Mampang dan Puri Beta","Puri Beta - Tegal Mampang - Puri Beta","0","","100606-13-L02_shp","",""
"100606-13","100606-SH","100606-9532980175fa33acc941","Rawa Barat dan Puri Beta","Puri Beta - Rawa Barat - Puri Beta","0","","100606-13-L03_shp","",""
"100606-13","100606-SH","100606-3e0a0d97ba2c9d45d678","Rawa Barat dan Ciledug","Ciledug - Rawa Barat - Ciledug","0","","100606-13-L04_shp","",""
"100606-13","100606-SH","100606-fa7c8ae492f3814d65c4","JORR dan Tegal Mampang","Tegal Mampang - JORR - Tegal Mampang","0","","100606-13-L05_shp","",""
"100606-13","100606-SH","100606-6112cf3e7b9bceb1bd6b","CBD Ciledug dan Puri Beta","Puri Beta - CBD Ciledug - Puri Beta","0","","100606-13-L06_shp","",""
